X = interesting
M = empty module
F = float
U = Unicode
S = Stupid plaf convention
F 42 diff lines in ../../../../python/release25-maint/Lib/plat-freebsd2/IN.py
S 478 diff lines in ../../../../python/release25-maint/Lib/plat-darwin/IN.py
F 2 diff lines in ../../../../python/release25-maint/Lib/plat-beos5/IN.py
S 2302 diff lines in ../../../../python/release25-maint/Lib/plat-atheos/IN.py
S 175 diff lines in ../../../../python/release25-maint/Lib/plat-atheos/TYPES.py
F 50 diff lines in ../../../../python/release25-maint/Lib/plat-aix4/IN.py
F 40 diff lines in ../../../../python/release25-maint/Lib/plat-aix3/IN.py
M 2 diff lines in ../../../../python/release25-maint/Lib/idlelib/__init__.py
L 3429 diff lines in ../../../../python/release25-maint/Lib/idlelib/PyParse.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp037.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1006.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1026.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1140.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1250.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1251.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1252.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1253.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1254.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1255.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1256.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1257.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp1258.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp424.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp437.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp500.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp737.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp775.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp850.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp852.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp855.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp856.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp857.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp860.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp861.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp862.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp863.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp864.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp865.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp866.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp869.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp874.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/cp875.py
U 2 diff lines in ../../../../python/release25-maint/Lib/encodings/idna.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_1.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_10.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_11.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_13.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_14.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_15.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_16.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_2.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_3.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_4.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_5.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_6.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_7.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_8.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/iso8859_9.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/koi8_r.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/koi8_u.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/mac_arabic.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/mac_centeuro.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/mac_croatian.py
